Title,Image,ugccard__wrap__2dpy7_URL,User_URL,User,Mark,Keywords
{PS4} ||Carkour #2|| (Fantasma.Nero),https://prod.cloud.rockstargames.com/ugc/gta5mission/3847/QGzG-EmC_0GRmqE31RfqNQ/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/QGzG-EmC_0GRmqE31RfqNQ,https://socialclub.rockstargames.com/member/__-xyjlugah-__/jobs?title=gtav&platform=pc,__-XyJluGaH-__,"Carkour race,i prove Xa-21, hard parkour. Crate by roberto0408a Yt=Kalamaro, copied from ps4!",
{PS4} [mic] PARKOUR MULITI HARD (MICRO_HACK_YT),https://prod.cloud.rockstargames.com/ugc/gta5mission/4357/mrL259t220mloL70pjmUeQ/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/mrL259t220mloL70pjmUeQ,https://socialclub.rockstargames.com/member/__-xyjlugah-__/jobs?title=gtav&platform=pc,__-XyJluGaH-__,"#SEASEASEA #HARDCORE #PAPAFOX #RIOBARBU #BLOOD #NS67 #IMRUN #KM #CREA #xMHx #PS4, copied from ps4!",
DRAGON HARD Parkour V4,https://prod.cloud.rockstargames.com/ugc/gta5mission/6256/joiYewMkJEKN6KFb9iK5HQ/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/joiYewMkJEKN6KFb9iK5HQ,https://socialclub.rockstargames.com/member/igoddragonking/jobs?title=gtav&platform=pc,IGodDragonKing,DRAGON,
{PS4} Ruiner parkour_HARD(DG46) (dutchguy46),https://prod.cloud.rockstargames.com/ugc/gta5mission/3350/YP0mqp1XgUyFg7xTZ0C4Tg/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/YP0mqp1XgUyFg7xTZ0C4Tg,https://socialclub.rockstargames.com/member/__-xyjlugah-__/jobs?title=gtav&platform=pc,__-XyJluGaH-__,Dont rage pls                           ruiner 2000 only                          funny ruiner parcour race                       97% possible               for all my jobs: dutchg...,"#
hard
#parcour
#spinner
#gccc
#yarasky
#nimu
#justchrisnl
#yararace"
{PS4} Parkour a pied VERY HARD #16 (Lucas35bzhGTA),https://prod.cloud.rockstargames.com/ugc/gta5mission/1058/-HND-_kDe0mb9D4kabYjdA/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/-HND-_kDe0mb9D4kabYjdA,https://socialclub.rockstargames.com/member/gazastreifen/jobs?title=gtav&platform=pc,Gazastreifen,"Hey voici un Parkour a pied very Hard . (challenge 250mn) , Attention a partir du 3eme points  C'est un faux point , si tu tombe apres tu peux recommence la course . Bonne chance ,...","#
hard
#pork
#impossible
#
parkour
#pied
#
#tabs
#xa21
#lvxa"
{PS4} Bati parkour 15 (DeletedSnipes),https://prod.cloud.rockstargames.com/ugc/gta5mission/2539/2Toy1U3UOUymxhlbVJ5BzA/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/2Toy1U3UOUymxhlbVJ5BzA,https://socialclub.rockstargames.com/member/__-xyjlugah-__/jobs?title=gtav&platform=pc,__-XyJluGaH-__,"Bati parkour Medium / hard. Cheating enabled, black = cheatway. Can you make it to the finish without cheating? Text me on ig if you have any questions @178.37.168.12, copied from ...",
{XB1} Hard Parkour Contender (Willymini),https://prod.cloud.rockstargames.com/ugc/gta5mission/6880/fjdPsFOJP0-idZiqLeA5OA/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/fjdPsFOJP0-idZiqLeA5OA,https://socialclub.rockstargames.com/member/__-xyjlugah-__/jobs?title=gtav&platform=pc,__-XyJluGaH-__,"Salut à tous c'est Lasalle !, copied from xb1!",
{PS4} Bati parkour 14 (DeletedSnipes),https://prod.cloud.rockstargames.com/ugc/gta5mission/7003/EfDTW2Y360-1lReWX9dqCg/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/EfDTW2Y360-1lReWX9dqCg,https://socialclub.rockstargames.com/member/__-xyjlugah-__/jobs?title=gtav&platform=pc,__-XyJluGaH-__,"Medium / hard bati parkour, cheating enabled. Black = cheatway. Can you make it to the finish without cheating? Text me on ig if you have any questions @178.37.168.12, copied from ...",
{PS4} Trasform Carkour 2 [Aero] (Aeropot42o),https://prod.cloud.rockstargames.com/ugc/gta5mission/3634/PUk-tcQCrEaA3XVQO20K7g/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/PUk-tcQCrEaA3XVQO20K7g,https://socialclub.rockstargames.com/member/__-xyjlugah-__/jobs?title=gtav&platform=pc,__-XyJluGaH-__,"Trasform Parkour Mix | Wallrides Jumps Loops Sky-dive Helicopter | Medium Hard Skill Test, copied from ps4!",
HARD PARKOUR RAFINERY 30,https://prod.cloud.rockstargames.com/ugc/gta5mission/3184/5gQZiiC8YUuDirdqpSDX0A/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/5gQZiiC8YUuDirdqpSDX0A,https://socialclub.rockstargames.com/member/johnny.branescu/jobs?title=gtav&platform=pc,johnny.branescu,"hard enduro that will keep you focus all the way to the finish, have fun",
{XB1} Hard Parkour [Modded] (INickoI19),https://prod.cloud.rockstargames.com/ugc/gta5mission/9403/lgGPGuurCkaLeQfbCiwDBw/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/lgGPGuurCkaLeQfbCiwDBw,https://socialclub.rockstargames.com/member/__-xyjlugah-__/jobs?title=gtav&platform=pc,__-XyJluGaH-__,"Don't attempt witout skills! Search ''INickoI Race'' on YouTube for more!, copied from xb1!",
Parkour 2023 hard,https://prod.cloud.rockstargames.com/ugc/gta5mission/9564/rKKPU6u5q02n6Fvze3VXfA/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/rKKPU6u5q02n6Fvze3VXfA,https://socialclub.rockstargames.com/member/lewo-to-tryhard/jobs?title=gtav&platform=pc,Lewo-to-tryhard,Hardcore,
